ts_code,trade_date,close,vol,amount
01779.HK,20260624,151.7,366950.0,56732780.0
03774.HK,20260624,13.5,79000.0,1063180.0
01281.HK,20260624,0.098,103000.0,9682.0
01315.HK,20260624,0.102,10000.0,1020.0
01303.HK,20260624,0.32,6048000.0,1852248.0
08246.HK,20260624,0.7,60000.0,41100.0
01251.HK,20260624,0.24,1972000.0,467964.0
01830.HK,20260624,1.1,441324.0,480003.44
01057.HK,20260624,3.84,6964000.0,27172180.0
03382.HK,20260624,0.61,2572000.0,1575540.0
03988.HK,20260624,5.27,247029080.0,1309906676.26
00474.HK,20260624,0.115,62748000.0,6597450.0
00527.HK,20260624,0.61,432000.0,268440.0
00272.HK,20260624,0.45,4332000.0,1933882.5
00813.HK,20260624,0.078,8238027.0,639901.89
03900.HK,20260624,6.61,15231330.0,100662856.5
03989.HK,20260624,0.084,432000.0,36424.0
01765.HK,20260624,0.126,6202000.0,781452.0
08611.HK,20260624,0.75,5225000.0,3895450.0
01912.HK,20260624,1.55,831000.0,1227250.0
03700.HK,20260624,1.42,6367000.0,9399690.0
06860.HK,20260624,0.14,1356000.0,187723.0
01850.HK,20260624,0.405,24233525.0,9559633.75
01936.HK,20260624,0.81,46000.0,37160.0
01283.HK,20260624,1.68,200000.0,335400.0
00382.HK,20260624,0.48,1434000.0,692380.0
01960.HK,20260624,0.33,170000.0,56150.0
01412.HK,20260624,1.04,212000.0,219800.0
08208.HK,20260624,0.138,138000.0,20304.0
01827.HK,20260624,0.68,15000.0,10200.0
09689.HK,20260624,0.63,508000.0,315640.0
00917.HK,20260624,8.82,3813800.0,34115165.5
02563.HK,20260624,3.41,1000.0,3426.0
02576.HK,20260624,5.94,716000.0,4226722.0
03858.HK,20260624,68.4,2679314.0,184864448.7
02551.HK,20260624,2.16,68000.0,147230.0
01392.HK,20260624,18.0,6815472.0,134965172.78
01099.HK,20260624,15.76,6462781.0,101973197.26
