ts_code,ts_latest_close,ts_days,ts_avg_amount_hkd,ts_median_amount_hkd
01229.HK,0.165,18,48080.22222222222,32697.0
01231.HK,0.32,2,620.0,620.0
01232.HK,0.6,14,11898.0,12320.0
01233.HK,0.033,20,149547.73870000002,78106.0
01234.HK,3.51,20,1055451.09,848225.5
01235.HK,0.196,6,19721.666666666668,15730.0
01236.HK,37.32,20,13336356.099000001,13420879.5
01237.HK,0.73,16,68673.805,45537.28
01238.HK,0.218,20,176124.36000000002,137812.5
01239.HK,0.38,20,326743.1875,262562.5
01240.HK,0.174,9,56798.333333333336,15375.0
01241.HK,0.129,17,36368.35294117647,13440.0
01243.HK,0.032,18,36532.02888888889,15972.26
01244.HK,2.84,18,464511.3888888889,376210.0
01245.HK,0.191,17,91722.23529411765,23864.0
01247.HK,1.22,20,370803.0,321210.0
01250.HK,1.23,19,135015.3694736842,85040.0
01251.HK,0.27,20,300449.8,183455.0
01253.HK,0.12,5,20392.8,9228.0
01255.HK,3.53,20,567391.0,402150.0
01257.HK,0.8,16,333282.16625,288345.0
01258.HK,13.56,20,253660940.6395,225424745.41500002
01259.HK,0.034,20,1402572.85,727189.0
01260.HK,0.52,18,264002.77777777775,162830.0
01262.HK,2.55,10,34787.0,25080.0
01265.HK,0.15,17,127965.29411764706,94520.0
01268.HK,0.55,20,920724.2019999999,656541.97
01269.HK,0.037,16,37095.7,12566.0
01271.HK,0.42,20,12766.98,4130.0
01272.HK,1.1,19,224665.7894736842,157910.0
01273.HK,0.75,11,217901.81818181818,34160.0
01274.HK,3.79,20,2578236.855,1671616.5
01276.HK,54.65,20,245337657.87849998,208705936.77499998
01277.HK,1.61,20,71807494.78199999,53676777.105000004
01278.HK,0.071,20,199229.21545,142204.514
01280.HK,1.43,20,1018681.95,1106827.5
01281.HK,0.093,17,32337.176470588234,22650.0
01282.HK,0.08,20,86760.45,75322.0
01283.HK,1.75,20,369360.0,355875.0
01284.HK,0.445,19,78876.31578947368,51050.0
01285.HK,1.06,17,158750.16235294117,98220.0
01286.HK,8.48,20,104491551.68249999,61485152.315
01288.HK,5.67,20,468916685.768,490492250.09000003
01289.HK,2.29,18,133444.16666666666,64050.0
01290.HK,0.54,2,22280.0,22280.0
01292.HK,2.21,13,60309.230769230766,45930.0
01298.HK,0.83,1,830.0,830.0
01299.HK,73.7,20,4302400888.1521,4154040331.4795
01300.HK,4.1,20,75834882.729,58827015.0
01301.HK,0.34,19,23781.052631578947,14740.0
